triple_id,subject,subject_type,predicate,object,object_type,evidence_span,confidence,notes
1,DZNep,drug,inhibits,EZH2,gene,"it lowers EZH2 levels",high,
2,DZNep,drug,induces,apoptosis,other,"induces apoptosis in breast and colon cancer cells",high,
3,DZNep,drug,has_property,antiviral,other,"DZNep has potential antiviral and anti-cancer properties",high,
4,DZNep,drug,has_property,anti-cancer,other,"DZNep has potential antiviral and anti-cancer properties",high,
5,DZNep,drug,effective_against,breast cancer,disease,"induces apoptosis in breast and colon cancer cells",high,
6,DZNep,drug,effective_against,colon cancer,disease,"induces apoptosis in breast and colon cancer cells",high,
7,DZNep,drug,inhibits,SAH hydrolase,chemical,"DZNep inhibits the hydrolysis of S-adenosyl-L-homocysteine (SAH)",high,
8,SAH,chemical,inhibits,protein methyltransferases,gene,"SAH which is a product-based inhibitor of all protein methyltransferases",high,
9,DZNep,drug,is_not_specific_to,EZH2,gene,"DZNep is not specific to EZH2",high,
10,DZNep,drug,inhibits,DNA methyltransferases,gene,"also inhibits other DNA methyltransferases",high,
11,EPZ005687,drug,developed_by,Epizyme,organisation,"a company called Epizyme revealed EPZ005687",high,
12,EPZ005687,drug,competes_with,SAM,chemical,"an S-adenosylmethionine (SAM) competitive inhibitor",high,
13,EPZ005687,drug,more_selective_than,DZNep,drug,"more selective than DZNep",high,
14,EPZ005687,drug,selective_over,EZH1,gene,"50-fold increase in selectivity for EZH2 compared to EZH1",high,
15,EPZ005687,drug,inhibits,EZH2,gene,"The drug blocks EZH2 activity",high,
16,EPZ005687,drug,binds_to,SET domain,other,"binding to the SET domain active site of the enzyme",high,
17,EPZ005687,drug,inhibits,Y641 mutant EZH2,gene,"can also inhibit the Y641 and A677 mutants of EZH2",high,
18,EPZ005687,drug,inhibits,A677 mutant EZH2,gene,"can also inhibit the Y641 and A677 mutants of EZH2",high,
19,EPZ005687,drug,treats,non-Hodgkin's lymphoma,disease,"may be applicable for treating non-Hodgkin's lymphoma",medium,
20,EPZ005687,drug,discovered_in,2012,other,"In 2012 a company called Epizyme revealed EPZ005687",high,
21,tazemetostat,drug,also_known_as,EPZ-6438,drug,"tazemetostat (EPZ-6438)",high,
22,tazemetostat,drug,developed_by,Epizyme,organisation,"Epizyme began Phase I clinical trials with another EZH2 inhibitor tazemetostat",high,
23,tazemetostat,drug,inhibits,EZH2,gene,"another EZH2 inhibitor tazemetostat",high,
24,tazemetostat,drug,entered_trials_for,B-cell lymphoma,disease,"Phase I clinical trials ... for patients with B-cell lymphoma",high,
25,tazemetostat,drug,entered_trials_in,2013,other,"In 2013 Epizyme began Phase I clinical trials",high,
26,Tazverik,drug,tradename_of,tazemetostat,drug,"tazemetostat with the tradename Tazverik",high,
27,tazemetostat,drug,approved_for,epithelioid sarcoma,disease,"FDA accelerated approval for the treatment of metastatic or locally advanced epithelioid sarcoma",high,
28,tazemetostat,drug,approved_by,FDA,organisation,"gained an FDA accelerated approval",high,
29,tazemetostat,drug,approved_in,2020,other,"In 2020 tazemetostat ... gained an FDA accelerated approval",high,
30,tazemetostat,drug,approved_for,follicular lymphoma,disease,"accelerated approval for the treatment of patients with relapsed follicular lymphoma",high,
31,sinefungin,drug,competes_with,SAM,chemical,"another SAM-competitive inhibitor",high,
32,sinefungin,drug,is_not_specific_to,EZH2,gene,"like DZNep it is not specific to EZH2",high,
33,sinefungin,drug,binds_to,cofactor binding pocket,other,"binding in the cofactor binding pocket of DNA methyltransferases",high,
34,sinefungin,drug,inhibits,DNA methyltransferases,gene,"binding in the cofactor binding pocket of DNA methyltransferases to block methyl transfer",high,
35,EI1,drug,developed_by,Novartis,organisation,"developed by Novartis",high,
36,EI1,drug,inhibits,EZH2,gene,"showed EZH2 inhibitory activity",high,
37,EI1,drug,effective_against,lymphoma,disease,"showed EZH2 inhibitory activity in lymphoma tumor cells",high,
38,EI1,drug,effective_against,Y641 mutant lymphoma,disease,"including cells with the Y641 mutation",high,
39,EI1,drug,competes_with,SAM,chemical,"competing with the SAM cofactor for binding to EZH2",high,
40,GSK126,drug,developed_by,GlaxoSmithKline,organisation,"developed by GlaxoSmithKline",high,
41,GSK126,drug,competes_with,SAM,chemical,"SAM-competitive EZH2 inhibitor",high,
42,GSK126,drug,inhibits,EZH2,gene,"potent SAM-competitive EZH2 inhibitor",high,
43,GSK126,drug,selective_over,EZH1,gene,"150-fold selectivity over EZH1",high,
44,GSK126,drug,has_ki,0.5-3 nM,other,"a Ki of 0.5-3 nM",high,
45,UNC1999,drug,analogue_of,GSK126,drug,"developed as an analogue of GSK126",high,
46,UNC1999,drug,inhibits,EZH2,gene,"first orally bioavailable EZH2 inhibitor to show activity",high,
47,UNC1999,drug,is_a,orally bioavailable,other,"first orally bioavailable EZH2 inhibitor",high,
48,UNC1999,drug,less_selective_than,GSK126,drug,"less selective than its counterpart GSK126",high,
49,UNC1999,drug,binds_to,EZH1,gene,"it binds to EZH1 as well",high,
50,etoposide,drug,is_a,topoisomerase inhibitor,other,"Etoposide a topoisomerase inhibitor",high,
51,etoposide,drug,combined_with,EZH2 inhibitor,drug,"when combined with an EZH2 inhibitor",medium,object is a drug class not a specific drug
52,etoposide,drug,effective_against,non-small cell lung cancer,disease,"becomes more effective for non-small cell lung cancers with BRG1 and EGFR mutations",high,
53,non-small cell lung cancer,disease,associated_with,BRG1,gene,"non-small cell lung cancers with BRG1 and EGFR mutations",high,
54,non-small cell lung cancer,disease,associated_with,EGFR,gene,"non-small cell lung cancers with BRG1 and EGFR mutations",high,
55,EZH2,gene,has_activity,lysine methylation,pathway,"EZH2 and lysine methylation can have tumor suppressing activity",medium,
56,EZH2,gene,has_activity,tumor suppression,pathway,"EZH2 and lysine methylation can have tumor suppressing activity",medium,
57,EZH2 inhibition,other,not_beneficial_in,myelodysplastic syndrome,disease,"EZH2 inhibition may not be beneficial in all cases ... in myelodysplastic syndrome",medium,
58,tazemetostat,drug,treats,epithelioid sarcoma,disease,"treatment of metastatic or locally advanced epithelioid sarcoma",high,duplicate-check with 27
59,SAH,chemical,is_a,product-based inhibitor,other,"SAH which is a product-based inhibitor of all protein methyltransferases",high,
60,DZNep,drug,increases,SAH concentration,chemical,"leading to increased cellular concentrations of SAH",high,
